SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523574,FRL         ,A ,Q,129.40,132.80,127.00,130.80,130.80,127.80,1792,112208,14666002.00,
523586,IND.TONERS  ,B ,Q,130.00,130.00,111.20,115.10,115.10,120.95,630,77734,9282400.00,
523592,JENSON &NICH,B ,Q,7.25,7.42,6.90,7.20,7.20,7.10,113,41785,301809.00,
523594,KUNSTSTOFFE ,B ,Q,13.90,13.90,13.30,13.30,13.30,13.54,2,1040,14432.00,
523598,SHIPP.CORPN ,A ,Q,70.15,79.40,70.10,77.20,77.20,69.75,10189,1268282,94617343.00,
523606,SIKA INTER. ,B ,Q,156.80,160.00,156.00,157.50,156.00,156.00,16,1634,258789.00,
523610,ITI LTD.    ,B ,Q,29.40,29.95,28.65,28.95,28.95,28.85,1527,251961,7351724.00,
523618,DREDGING COR,B ,Q,463.00,481.00,458.20,466.50,466.50,457.10,4695,99502,46767198.00,
523620,PHARMASIA   ,T ,Q,18.80,20.00,18.80,19.95,19.95,19.75,10,542,10520.00,
523628,PODDARDEV   ,B ,Q,1357.00,1445.00,1335.25,1406.75,1422.00,1349.75,174,2760,3794675.00,
523630,NATIONAL FER,B ,Q,28.20,28.45,27.60,27.75,27.75,27.95,368,46922,1319784.00,
523638,IP RINGS LTD,B ,Q,92.00,92.50,88.55,88.95,88.95,88.20,71,3496,315417.00,
523642,PI INDUS.LTD,A ,Q,670.00,688.00,661.75,673.80,673.80,663.20,2651,264574,178457863.00,
523648,PLASTIBLEND ,B ,Q,371.40,380.20,368.00,370.80,370.80,367.60,654,25019,9423913.00,
523658,RISHIROOP RU,B ,Q,19.55,20.70,19.55,20.65,19.55,20.75,10,9684,196829.00,
523660,WATERBASE   ,B ,Q,103.60,107.40,99.00,100.10,99.00,103.20,1192,181986,18759626.00,
523670,NOIDA MEDI  ,B ,Q,11.00,11.00,10.36,10.51,10.36,10.80,10,1850,19787.00,
